"ActivityID","CareType","HCWType","RoomType","Surface","Date","Time","Dev.Date.Time"
"01","Bloods","Phlebotomist","SB","Start",2020-02-17,08:52:33,2020-02-17 08:52:33
"01","Bloods","Phlebotomist","SB","GlovesOn",2020-02-17,08:52:33,2020-02-17 08:52:33
"01","Bloods","Phlebotomist","SB","In",2020-02-17,08:52:33,2020-02-17 08:52:33
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:52:33,2020-02-17 08:52:33
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:52:35,2020-02-17 08:52:35
"01","Bloods","Phlebotomist","SB","Sharps",2020-02-17,08:52:42,2020-02-17 08:52:42
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:52:48,2020-02-17 08:52:48
"01","Bloods","Phlebotomist","SB","BloodObsEq",2020-02-17,08:53:07,2020-02-17 08:53:07
"01","Bloods","Phlebotomist","SB","Syringe",2020-02-17,08:53:14,2020-02-17 08:53:14
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:53:16,2020-02-17 08:53:16
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:53:24,2020-02-17 08:53:24
"01","Bloods","Phlebotomist","SB","Sharps",2020-02-17,08:53:52,2020-02-17 08:53:52
"01","Bloods","Phlebotomist","SB","Syringe",2020-02-17,08:53:58,2020-02-17 08:53:58
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:53:59,2020-02-17 08:53:59
"01","Bloods","Phlebotomist","SB","Sharps",2020-02-17,08:54:05,2020-02-17 08:54:05
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:54:09,2020-02-17 08:54:09
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:54:15,2020-02-17 08:54:15
"01","Bloods","Phlebotomist","SB","Sharps",2020-02-17,08:54:17,2020-02-17 08:54:17
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:54:20,2020-02-17 08:54:20
"01","Bloods","Phlebotomist","SB","Syringe",2020-02-17,08:54:30,2020-02-17 08:54:30
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:54:36,2020-02-17 08:54:36
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:54:39,2020-02-17 08:54:39
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:54:43,2020-02-17 08:54:43
"01","Bloods","Phlebotomist","SB","Patient",2020-02-17,08:54:50,2020-02-17 08:54:50
"01","Bloods","Phlebotomist","SB","Sharps",2020-02-17,08:54:51,2020-02-17 08:54:51
"01","Bloods","Phlebotomist","SB","Sharps",2020-02-17,08:55:00,2020-02-17 08:55:00
"01","Bloods","Phlebotomist","SB","Out",2020-02-17,08:55:00,2020-02-17 08:55:00
"01","Bloods","Phlebotomist","SB","Finished",2020-02-17,08:55:02,2020-02-17 08:55:02
"02","Bloods","Phlebotomist","MB","Start",2020-02-17,14:04:00,2020-02-17 14:04:00
"02","Bloods","Phlebotomist","MB","In",2020-02-17,14:04:00,2020-02-17 14:04:00
"02","Bloods","Phlebotomist","MB","AlcInside",2020-02-17,14:04:12,2020-02-17 14:04:12
"02","Bloods","Phlebotomist","MB","EqTray",2020-02-17,14:04:40,2020-02-17 14:04:40
"02","Bloods","Phlebotomist","MB","EqTray",2020-02-17,14:04:58,2020-02-17 14:04:58
"02","Bloods","Phlebotomist","MB","Syringe",2020-02-17,14:05:02,2020-02-17 14:05:02
"02","Bloods","Phlebotomist","MB","GlovesOn",2020-02-17,14:05:08,2020-02-17 14:05:08
"02","Bloods","Phlebotomist","MB","Patient",2020-02-17,14:05:15,2020-02-17 14:05:15
"02","Bloods","Phlebotomist","MB","Patient",2020-02-17,14:05:22,2020-02-17 14:05:22
